winner,winner score,loser score,strategy,opponent,hand,length
AI-origin,307,259,"[1, 3, 0, 0, 0, 1, 0, 0]","[2, 0, 0, 0, 0, 0, 0, 2]",3 7 7 9 9 10 10 10 10 J J,15,pass
AI-origin,307,259,"[1, 3, 0, 0, 0, 1, 0, 0]","[3, 0, 0, 0, 0, 0, 0, 2]",3 7 7 9 9 10 10 10 10 J J,14,pass
AI-origin,307,259,"[1, 3, 0, 0, 0, 1, 0, 0]","[3, 1, 0, 0, 0, 0, 0, 2]",3 7 7 9 9 10 10 10 10 J J,12,best
AI-origin,307,259,"[1, 2, 0, 0, 0, 1, 0, 0]","[3, 2, 0, 0, 0, 0, 0, 2]",3 7 7 9 9 10 10 10 10,10,pass
AI-origin,307,259,"[1, 2, 0, 0, 0, 1, 0, 0]","[3, 2, 0, 0, 0, 1, 0, 2]",3 7 7 9 9 10 10 10 10,6,pass
AI-origin,307,259,"[0, 2, 0, 0, 0, 0, 0, 0]","[4, 2, 0, 0, 0, 1, 0, 2]",7 7 9 9,5,pass
AI-origin,269,279,"[3, 2, 0, 0, 0, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 1]",5 5 5 5 6 6 7 7 7 8 9 9 9 10 10 10 J Q Q A 2 2,22,pass
AI-origin,269,279,"[3, 2, 0, 0, 0, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 2]",5 5 5 5 6 6 7 7 7 8 9 9 9 10 10 10 J Q Q A 2 2,17,pass
AI-origin,269,279,"[3, 2, 0, 0, 0, 1, 1, 1]","[1, 0, 0, 0, 0, 0, 0, 2]",5 5 5 5 6 6 7 7 7 8 9 9 9 10 10 10 J Q Q A 2 2,16,best
AI-origin,269,279,"[2, 2, 0, 0, 0, 1, 1, 1]","[2, 0, 0, 0, 0, 0, 0, 2]",5 5 5 5 6 6 7 7 7 9 9 9 10 10 10 J Q Q A 2 2,15,best
AI-origin,269,279,"[1, 2, 0, 0, 0, 1, 1, 1]","[3, 0, 0, 0, 0, 0, 0, 2]",5 5 5 5 6 6 7 7 7 9 9 9 10 10 10 J Q Q 2 2,14,pass
AI-origin,269,279,"[1, 2, 0, 0, 0, 1, 1, 1]","[4, 0, 0, 0, 0, 0, 0, 2]",5 5 5 5 6 6 7 7 7 9 9 9 10 10 10 J Q Q 2 2,13,best
AI-origin,269,279,"[0, 2, 0, 0, 0, 1, 1, 1]","[4, 0, 0, 0, 0, 1, 0, 2]",5 5 5 5 6 6 7 7 7 9 9 9 10 10 10 Q Q 2 2,8,pass
AI-origin,269,279,"[0, 2, 0, 0, 0, 1, 1, 1]","[4, 1, 0, 0, 0, 1, 0, 2]",5 5 5 5 6 6 7 7 7 9 9 9 10 10 10 Q Q 2 2,6,pass
AI-origin,269,279,"[0, 1, 0, 0, 0, 1, 1, 1]","[4, 2, 0, 0, 0, 1, 0, 2]",5 5 5 5 6 6 7 7 7 9 9 9 10 10 10 2 2,4,pass
AI-origin,305,277,"[3, 2, 0, 0, 0, 1, 1, 1]","[0, 0, 0, 1, 0, 0, 0, 0]",3 3 5 5 6 8 8 8 9 J J Q K K K A A A 2 2 2 2,22,pass
AI-origin,305,277,"[3, 2, 0, 0, 0, 1, 1, 1]","[0, 0, 0, 1, 0, 0, 0, 1]",3 3 5 5 6 8 8 8 9 J J Q K K K A A A 2 2 2 2,17,best
AI-origin,305,277,"[3, 2, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 1, 0, 1, 0, 1]",5 5 6 9 J J Q K K K A A A 2 2 2 2,13,best
AI-origin,305,277,"[2, 2, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 1, 0, 1, 0, 1]",5 5 9 J J Q,12,best
AI-origin,305,277,"[1, 2, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 1, 0, 1, 0, 1]",5 5 9 J J,11,pass
AI-origin,305,277,"[1, 2, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 1, 0, 1, 0, 1]",5 5 9 J J,10,best
AI-origin,305,277,"[0, 1, 0, 0, 0, 0, 0, 0]","[3, 1, 0, 1, 0, 1, 0, 1]",J J,8,best
tree-v4,251,285,"[1, 3, 0, 0, 0, 1, 0, 1]","[0, 0, 0, 0, 1, 0, 0, 0]",4 4 9 9 9 9 10 10 10 J Q Q A A 2 2,21,pass
tree-v4,251,285,"[1, 3, 0, 0, 0, 1, 0, 1]","[0, 0, 1, 0, 1, 0, 0, 0]",4 4 9 9 9 9 10 10 10 J Q Q A A 2 2,18,pass
tree-v4,251,285,"[1, 3, 0, 0, 0, 1, 0, 1]","[1, 0, 1, 0, 1, 0, 0, 0]",4 4 9 9 9 9 10 10 10 J Q Q A A 2 2,17,pass
tree-v4,251,285,"[1, 3, 0, 0, 0, 1, 0, 1]","[2, 0, 1, 0, 1, 0, 0, 0]",4 4 9 9 9 9 10 10 10 J Q Q A A 2 2,16,pass
tree-v4,251,285,"[1, 3, 0, 0, 0, 1, 0, 1]","[2, 1, 1, 0, 1, 0, 0, 0]",4 4 9 9 9 9 10 10 10 J Q Q A A 2 2,14,best
tree-v4,251,285,"[1, 2, 0, 0, 0, 1, 0, 1]","[2, 1, 1, 0, 1, 1, 0, 0]",4 4 9 9 9 9 10 10 10 J Q Q 2 2,10,best
tree-v4,251,285,"[1, 2, 0, 0, 0, 0, 0, 0]","[2, 1, 1, 0, 1, 2, 0, 0]",J Q Q 2 2,6,best
tree-v4,279,289,"[3, 4, 0, 0, 0, 0, 1, 2]","[0, 0, 1, 0, 0, 0, 0, 0]",3 4 4 4 5 5 6 6 7 7 7 8 8 9 9 J Q Q Q K K K A A 2 2 2,24,pass
tree-v4,279,289,"[3, 4, 0, 0, 0, 0, 1, 2]","[0, 0, 2, 0, 0, 0, 0, 0]",3 4 4 4 5 5 6 6 7 7 7 8 8 9 9 J Q Q Q K K K A A 2 2 2,21,pass
tree-v4,279,289,"[3, 4, 0, 0, 0, 0, 1, 2]","[1, 0, 2, 0, 0, 0, 0, 0]",3 4 4 4 5 5 6 6 7 7 7 8 8 9 9 J Q Q Q K K K A A 2 2 2,20,best
tree-v4,279,289,"[2, 4, 0, 0, 0, 0, 1, 2]","[2, 0, 2, 0, 0, 0, 0, 0]",3 4 4 5 5 6 6 7 7 7 8 8 9 9 J Q Q Q K K K A A 2 2 2,19,best
tree-v4,279,289,"[1, 4, 0, 0, 0, 0, 1, 2]","[3, 0, 2, 0, 0, 0, 0, 0]",3 4 4 5 5 6 6 7 7 7 8 8 9 9 Q Q Q K K K A A 2 2 2,18,pass
tree-v4,279,289,"[1, 4, 0, 0, 0, 0, 1, 2]","[4, 0, 2, 0, 0, 0, 0, 0]",3 4 4 5 5 6 6 7 7 7 8 8 9 9 Q Q Q K K K A A 2 2 2,17,pass
tree-v4,279,289,"[1, 4, 0, 0, 0, 0, 1, 2]","[4, 1, 2, 0, 0, 0, 0, 0]",3 4 4 5 5 6 6 7 7 7 8 8 9 9 Q Q Q K K K A A 2 2 2,15,best
tree-v4,279,289,"[1, 3, 0, 0, 0, 0, 1, 1]","[4, 1, 2, 0, 0, 1, 0, 0]",3 5 5 6 6 8 8 9 9 Q Q Q K K K 2 2 2,10,pass
tree-v4,279,289,"[1, 3, 0, 0, 0, 0, 1, 1]","[4, 2, 2, 0, 0, 1, 0, 0]",3 5 5 6 6 8 8 9 9 Q Q Q K K K 2 2 2,8,pass
tree-v4,279,289,"[1, 3, 0, 0, 0, 0, 1, 1]","[4, 2, 2, 0, 0, 2, 0, 0]",3 5 5 6 6 8 8 9 9 Q Q Q K K K 2 2 2,4,pass
AI-origin,316,305,"[2, 0, 2, 0, 0, 3, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",3 3 3 3 3 7 9 9 9 10 10 10 10 K A A A A A 2 2 2,23,best
AI-origin,316,305,"[2, 0, 1, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 0, 2, 0, 0]",7 10 10 10 10 K A A A A A 2 2 2,19,best
AI-origin,316,305,"[1, 0, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 2, 0, 0]",10 10 10 10 K,18,pass
AI-origin,316,305,"[1, 0, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 2, 0, 1]",10 10 10 10 K,13,pass
AI-origin,316,305,"[1, 0, 0, 0, 0, 1, 0, 0]","[2, 0, 0, 0, 0, 2, 0, 1]",10 10 10 10 K,12,best
AI-origin,316,305,"[0, 0, 0, 0, 0, 1, 0, 0]","[3, 0, 0, 0, 0, 2, 0, 1]",10 10 10 10,11,best
tree-v4,267,308,"[4, 2, 0, 0, 0, 2, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 1]",3 5 7 7 8 8 8 8 9 10 10 10 10 J K K A A A 2 2 2,22,pass
tree-v4,267,308,"[4, 2, 0, 0, 0, 2, 1, 0]","[0, 0, 0, 1, 0, 0, 0, 1]",3 5 7 7 8 8 8 8 9 10 10 10 10 J K K A A A 2 2 2,17,pass
tree-v4,267,308,"[4, 2, 0, 0, 0, 2, 1, 0]","[0, 0, 0, 1, 0, 0, 0, 2]",3 5 7 7 8 8 8 8 9 10 10 10 10 J K K A A A 2 2 2,12,pass
tree-v4,267,308,"[4, 2, 0, 0, 0, 2, 1, 0]","[1, 0, 0, 1, 0, 0, 0, 2]",3 5 7 7 8 8 8 8 9 10 10 10 10 J K K A A A 2 2 2,11,best
tree-v4,267,308,"[3, 2, 0, 0, 0, 2, 1, 0]","[2, 0, 0, 1, 0, 0, 0, 2]",3 7 7 8 8 8 8 9 10 10 10 10 J K K A A A 2 2 2,10,best
tree-v4,267,308,"[2, 2, 0, 0, 0, 2, 1, 0]","[3, 0, 0, 1, 0, 0, 0, 2]",3 7 7 8 8 8 8 10 10 10 10 J K K A A A 2 2 2,9,pass
tree-v4,267,308,"[2, 2, 0, 0, 0, 2, 1, 0]","[4, 0, 0, 1, 0, 0, 0, 2]",3 7 7 8 8 8 8 10 10 10 10 J K K A A A 2 2 2,8,pass
tree-v4,267,308,"[2, 2, 0, 0, 0, 2, 1, 0]","[4, 0, 0, 1, 0, 1, 0, 2]",3 7 7 8 8 8 8 10 10 10 10 J K K A A A 2 2 2,4,pass
AI-origin,298,294,"[2, 3, 1, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 1]",3 5 5 5 5 5 9 9 10 J J J Q Q K K K A A A 2 2,22,pass
AI-origin,298,294,"[2, 3, 1, 0, 0, 1, 1, 0]","[0, 0, 0, 1, 0, 0, 0, 1]",3 5 5 5 5 5 9 9 10 J J J Q Q K K K A A A 2 2,17,pass
AI-origin,298,294,"[2, 3, 1, 0, 0, 1, 1, 0]","[0, 0, 0, 1, 0, 0, 0, 2]",3 5 5 5 5 5 9 9 10 J J J Q Q K K K A A A 2 2,12,pass
AI-origin,298,294,"[2, 3, 1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 0, 0, 0, 2]",3 5 5 5 5 5 9 9 10 J J J Q Q K K K A A A 2 2,11,best
AI-origin,298,294,"[1, 3, 1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 0, 1, 0, 2]",3 5 5 5 5 5 9 9 J J J Q Q K K K A A A 2 2,7,best
AI-origin,298,294,"[0, 3, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 1, 0, 1, 0, 2]",9 9 Q Q 2 2,6,best
AI-origin,298,294,"[1, 2, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 1, 0, 1, 0, 2]",9 Q Q 2 2,5,best
AI-origin,298,294,"[2, 1, 0, 0, 0, 0, 0, 0]","[4, 0, 0, 1, 0, 1, 0, 2]",9 Q 2 2,4,best
AI-origin,298,294,"[2, 0, 0, 0, 0, 0, 0, 0]","[5, 0, 0, 1, 0, 1, 0, 2]",Q 2,3,best
AI-origin,298,294,"[1, 0, 0, 0, 0, 0, 0, 0]","[6, 0, 0, 1, 0, 1, 0, 2]",2,2,best
AI-origin,279,282,"[0, 1, 1, 0, 0, 0, 2, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",7 7 7 8 8 8 9 9 9 10 10 10 J J Q Q Q,23,pass
AI-origin,279,282,"[0, 1, 1, 0, 0, 0, 2, 0]","[0, 1, 0, 0, 0, 1, 0, 0]",7 7 7 8 8 8 9 9 9 10 10 10 J J Q Q Q,21,pass
AI-origin,279,282,"[0, 1, 1, 0, 0, 0, 2, 0]","[1, 1, 0, 0, 0, 1, 0, 0]",7 7 7 8 8 8 9 9 9 10 10 10 J J Q Q Q,20,pass
AI-origin,279,282,"[0, 1, 1, 0, 0, 0, 2, 0]","[1, 1, 0, 0, 1, 1, 0, 0]",7 7 7 8 8 8 9 9 9 10 10 10 J J Q Q Q,14,pass
AI-origin,279,282,"[0, 1, 1, 0, 0, 0, 2, 0]","[1, 1, 0, 0, 1, 1, 0, 1]",7 7 7 8 8 8 9 9 9 10 10 10 J J Q Q Q,9,pass
AI-origin,279,282,"[0, 1, 1, 0, 0, 0, 2, 0]","[1, 1, 0, 0, 1, 1, 1, 1]",7 7 7 8 8 8 9 9 9 10 10 10 J J Q Q Q,3,pass
tree-v4,319,294,"[3, 2, 0, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1]",3 4 6 6 7 7 7 7 8 8 8 8 8 10 2 2,22,pass
tree-v4,319,294,"[3, 2, 0, 0, 0, 2, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 1]",3 4 6 6 7 7 7 7 8 8 8 8 8 10 2 2,17,pass
tree-v4,319,294,"[3, 2, 0, 0, 0, 2, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 2]",3 4 6 6 7 7 7 7 8 8 8 8 8 10 2 2,12,pass
tree-v4,319,294,"[3, 2, 0, 0, 0, 2, 0, 0]","[1, 0, 0, 1, 0, 0, 0, 2]",3 4 6 6 7 7 7 7 8 8 8 8 8 10 2 2,11,pass
tree-v4,319,294,"[3, 2, 0, 0, 0, 2, 0, 0]","[1, 1, 0, 1, 0, 0, 0, 2]",3 4 6 6 7 7 7 7 8 8 8 8 8 10 2 2,9,best
tree-v4,319,294,"[3, 1, 0, 0, 0, 2, 0, 0]","[1, 1, 0, 1, 0, 1, 0, 2]",3 4 6 6 7 7 7 7 8 8 8 8 8 10,4,best
tree-v4,319,294,"[3, 1, 0, 0, 0, 2, 0, 0]","[1, 2, 0, 1, 0, 1, 0, 2]",3 4 6 6 7 7 7 7 8 8 8 8 8 10,2,best
tree-v4,319,294,"[2, 1, 0, 0, 0, 1, 0, 0]","[2, 2, 0, 1, 0, 1, 0, 2]",4 6 6 8 8 8 8 8 10,1,best
tree-v4,290,301,"[3, 2, 0, 0, 0, 2, 1, 1]","[0, 0, 0, 1, 0, 0, 0, 0]",3 3 4 5 5 6 6 6 7 7 7 8 8 8 8 9 9 9 10 10 J Q 2 2 2 2 2,22,pass
tree-v4,290,301,"[3, 2, 0, 0, 0, 2, 1, 1]","[0, 0, 0, 1, 0, 0, 0, 1]",3 3 4 5 5 6 6 6 7 7 7 8 8 8 8 9 9 9 10 10 J Q 2 2 2 2 2,17,best
tree-v4,290,301,"[3, 2, 0, 0, 0, 2, 0, 0]","[0, 0, 0, 1, 0, 1, 0, 1]",4 5 5 8 8 8 8 10 10 J Q 2 2 2 2 2,13,best
tree-v4,290,301,"[2, 2, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 1, 0, 1, 0, 1]",5 5 8 8 8 8 10 10 J Q,12,best
tree-v4,290,301,"[1, 2, 0, 0, 0, 1, 0, 0]","[2, 0, 0, 1, 0, 1, 0, 1]",5 5 8 8 8 8 10 10 Q,11,pass
tree-v4,290,301,"[1, 2, 0, 0, 0, 1, 0, 0]","[2, 1, 0, 1, 0, 1, 0, 1]",5 5 8 8 8 8 10 10 Q,9,best
tree-v4,290,301,"[1, 1, 0, 0, 0, 1, 0, 0]","[2, 2, 0, 1, 0, 1, 0, 1]",5 5 8 8 8 8 Q,7,best
tree-v4,290,301,"[1, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 0, 1, 0, 1, 0, 1]",Q,5,best
tree-v4,255,299,"[2, 3, 0, 1, 0, 1, 0, 2]","[0, 0, 0, 0, 0, 0, 0, 1]",3 3 3 4 4 5 5 6 6 7 7 8 9 9 10 J J Q K K K K A A 2 2 2,22,best
tree-v4,255,299,"[2, 3, 0, 1, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 1, 0, 1]",3 3 3 4 4 6 6 7 7 8 9 9 10 J J Q K K K K A A,18,best
tree-v4,255,299,"[2, 3, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 2]",6 6 7 7 9 J A A,13,pass
tree-v4,255,299,"[2, 3, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 3]",6 6 7 7 9 J A A,8,pass
tree-v4,255,299,"[2, 3, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 1, 0, 3]",6 6 7 7 9 J A A,7,pass
tree-v4,255,299,"[1, 3, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 1, 0, 3]",6 6 7 7 J A A,6,pass
tree-v4,255,299,"[2, 2, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 1, 0, 3]",6 6 7 7 J A,5,pass
tree-v4,255,299,"[2, 2, 0, 0, 0, 0, 0, 0]","[4, 0, 0, 0, 0, 1, 0, 3]",6 6 7 7 J A,4,pass
tree-v4,255,299,"[1, 2, 0, 0, 0, 0, 0, 0]","[5, 0, 0, 0, 0, 1, 0, 3]",6 6 7 7 J,3,pass
tree-v4,255,299,"[1, 2, 0, 0, 0, 0, 0, 0]","[6, 0, 0, 0, 0, 1, 0, 3]",6 6 7 7 J,2,pass
AI-origin,302,322,"[5, 0, 1, 0, 0, 2, 0, 1]","[0, 0, 0, 0, 0, 1, 0, 0]",3 4 5 5 6 6 6 6 8 8 8 9 9 9 9 10 10 10 J K 2,23,pass
AI-origin,302,322,"[5, 0, 1, 0, 0, 2, 0, 1]","[0, 0, 0, 0, 0, 1, 0, 1]",3 4 5 5 6 6 6 6 8 8 8 9 9 9 9 10 10 10 J K 2,18,best
AI-origin,302,322,"[5, 0, 1, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 2]",3 4 6 6 6 6 9 9 9 9 10 10 10 J K 2,13,pass
AI-origin,302,322,"[5, 0, 1, 0, 0, 2, 0, 0]","[1, 0, 0, 0, 0, 1, 0, 2]",3 4 6 6 6 6 9 9 9 9 10 10 10 J K 2,12,best
AI-origin,302,322,"[4, 0, 1, 0, 0, 2, 0, 0]","[2, 0, 0, 0, 0, 1, 0, 2]",3 4 6 6 6 6 9 9 9 9 10 10 10 K 2,11,best
AI-origin,302,322,"[3, 0, 1, 0, 0, 2, 0, 0]","[2, 0, 0, 0, 0, 2, 0, 2]",3 4 6 6 6 6 9 9 9 9 10 10 10 K,7,best
AI-origin,302,322,"[3, 0, 1, 0, 0, 2, 0, 0]","[3, 0, 0, 0, 0, 2, 0, 2]",3 4 6 6 6 6 9 9 9 9 10 10 10 K,6,best
AI-origin,302,322,"[2, 0, 1, 0, 0, 2, 0, 0]","[4, 0, 0, 0, 0, 2, 0, 2]",3 4 6 6 6 6 9 9 9 9 10 10 10,5,best
AI-origin,302,322,"[1, 0, 0, 0, 0, 1, 0, 0]","[5, 0, 0, 0, 0, 2, 0, 2]",4 9 9 9 9,4,best
tree-v4,287,341,"[2, 3, 0, 0, 1, 2, 0, 1]","[0, 0, 0, 1, 0, 0, 0, 0]",3 4 4 5 5 7 8 8 9 9 10 10 J J J Q Q Q Q K K A A 2 2 2 2,22,pass
tree-v4,287,341,"[2, 3, 0, 0, 1, 2, 0, 1]","[0, 0, 0, 1, 0, 0, 0, 1]",3 4 4 5 5 7 8 8 9 9 10 10 J J J Q Q Q Q K K A A 2 2 2 2,17,best
tree-v4,287,341,"[2, 3, 0, 0, 0, 2, 0, 0]","[0, 0, 0, 1, 0, 1, 0, 1]",3 5 5 7 Q Q Q Q K K A A 2 2 2 2,13,best
tree-v4,287,341,"[2, 3, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 2, 0, 1]",3 5 5 7 K K A A 2 2 2 2,9,best
tree-v4,287,341,"[1, 3, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 1, 0, 2, 0, 1]",5 5 7 K K A A,8,pass
tree-v4,287,341,"[1, 3, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 1, 0, 2, 0, 1]",5 5 7 K K A A,7,pass
tree-v4,287,341,"[2, 2, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 1, 0, 2, 0, 1]",5 5 7 K A A,6,pass
tree-v4,287,341,"[2, 2, 0, 0, 0, 0, 0, 0]","[3, 1, 0, 1, 0, 2, 0, 1]",5 5 7 K A A,4,pass
tree-v4,287,341,"[1, 1, 0, 0, 0, 0, 0, 0]","[4, 1, 0, 1, 0, 2, 0, 1]",5 5 K,3,pass
tree-v4,287,341,"[1, 1, 0, 0, 0, 0, 0, 0]","[5, 1, 0, 1, 0, 2, 0, 1]",5 5 K,2,pass
tree-v4,331,292,"[4, 5, 0, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",4 4 4 4 5 6 6 7 7 8 9 9 9 9 10 J J K K A 2 2,23,pass
tree-v4,331,292,"[4, 5, 0, 0, 0, 2, 0, 0]","[0, 0, 0, 1, 0, 1, 0, 0]",4 4 4 4 5 6 6 7 7 8 9 9 9 9 10 J J K K A 2 2,18,pass
tree-v4,331,292,"[4, 5, 0, 0, 0, 2, 0, 0]","[0, 0, 0, 2, 0, 1, 0, 0]",4 4 4 4 5 6 6 7 7 8 9 9 9 9 10 J J K K A 2 2,13,pass
tree-v4,331,292,"[4, 5, 0, 0, 0, 2, 0, 0]","[0, 0, 0, 2, 0, 1, 0, 1]",4 4 4 4 5 6 6 7 7 8 9 9 9 9 10 J J K K A 2 2,8,pass
tree-v4,331,292,"[4, 5, 0, 0, 0, 2, 0, 0]","[1, 0, 0, 2, 0, 1, 0, 1]",4 4 4 4 5 6 6 7 7 8 9 9 9 9 10 J J K K A 2 2,7,pass
tree-v4,331,292,"[3, 5, 0, 0, 0, 2, 0, 0]","[2, 0, 0, 2, 0, 1, 0, 1]",4 4 4 4 5 6 6 7 7 8 9 9 9 9 10 J J K K 2 2,6,pass
tree-v4,331,292,"[2, 5, 0, 0, 0, 1, 0, 0]","[3, 0, 0, 2, 0, 1, 0, 1]",6 6 7 7 8 9 9 9 9 10 J J K K 2 2,5,pass
tree-v4,331,292,"[0, 4, 0, 0, 0, 0, 0, 0]","[3, 1, 0, 2, 0, 1, 0, 1]",7 7 J J K K 2 2,3,pass
tree-v4,331,292,"[0, 3, 0, 0, 0, 0, 0, 0]","[3, 2, 0, 2, 0, 1, 0, 1]",7 7 K K 2 2,1,pass
AI-origin,293,325,"[3, 3, 0, 0, 0, 2, 0, 2]","[0, 0, 0, 0, 0, 0, 0, 1]",3 3 4 4 4 4 5 5 6 6 6 7 8 8 9 9 10 J J J J K K K A A 2,22,best
AI-origin,293,325,"[3, 3, 0, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 2]",4 4 4 4 7 8 8 9 9 10 J J J J A A 2,17,pass
AI-origin,293,325,"[3, 3, 0, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 3]",4 4 4 4 7 8 8 9 9 10 J J J J A A 2,12,pass
AI-origin,293,325,"[3, 3, 0, 0, 0, 2, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 3]",4 4 4 4 7 8 8 9 9 10 J J J J A A 2,11,best
AI-origin,293,325,"[2, 3, 0, 0, 0, 2, 0, 0]","[2, 0, 0, 0, 0, 0, 0, 3]",4 4 4 4 8 8 9 9 10 J J J J A A 2,10,best
AI-origin,293,325,"[1, 3, 0, 0, 0, 2, 0, 0]","[3, 0, 0, 0, 0, 0, 0, 3]",4 4 4 4 8 8 9 9 J J J J A A 2,9,best
AI-origin,293,325,"[0, 2, 0, 0, 0, 2, 0, 0]","[3, 1, 0, 0, 0, 0, 0, 3]",4 4 4 4 9 9 J J J J A A,7,best
AI-origin,293,325,"[0, 2, 0, 0, 0, 1, 0, 0]","[3, 1, 0, 0, 0, 1, 0, 3]",9 9 J J J J A A,3,best
AI-origin,293,325,"[0, 2, 0, 0, 0, 1, 0, 0]","[4, 1, 0, 0, 0, 1, 0, 3]",9 9 J J J J A A,2,best
tree-v4,303,286,"[2, 2, 0, 0, 0, 1, 2, 1]","[1, 0, 0, 0, 0, 0, 0, 0]",3 4 4 4 4 5 6 6 7 7 7 8 8 8 9 9 10 10 J J J K K K A A A,26,best
tree-v4,303,286,"[1, 2, 0, 0, 0, 1, 2, 1]","[2, 0, 0, 0, 0, 0, 0, 0]",3 4 4 4 4 6 6 7 7 7 8 8 8 9 9 10 10 J J J K K K A A A,25,pass
tree-v4,303,286,"[1, 2, 0, 0, 0, 1, 2, 1]","[2, 1, 0, 0, 0, 0, 0, 0]",3 4 4 4 4 6 6 7 7 7 8 8 8 9 9 10 10 J J J K K K A A A,23,pass
tree-v4,303,286,"[1, 2, 0, 0, 0, 1, 2, 1]","[2, 1, 0, 1, 0, 0, 0, 0]",3 4 4 4 4 6 6 7 7 7 8 8 8 9 9 10 10 J J J K K K A A A,18,pass
tree-v4,303,286,"[1, 2, 0, 0, 0, 1, 2, 1]","[2, 1, 0, 1, 0, 1, 0, 0]",3 4 4 4 4 6 6 7 7 7 8 8 8 9 9 10 10 J J J K K K A A A,14,best
tree-v4,303,286,"[1, 2, 0, 0, 0, 0, 2, 1]","[2, 1, 0, 1, 0, 2, 0, 0]",3 6 6 7 7 7 8 8 8 9 9 10 10 J J J K K K A A A,10,pass
tree-v4,303,286,"[1, 2, 0, 0, 0, 0, 2, 1]","[2, 1, 0, 1, 0, 3, 0, 0]",3 6 6 7 7 7 8 8 8 9 9 10 10 J J J K K K A A A,6,pass
tree-v4,323,271,"[2, 0, 0, 0, 0, 2, 1, 1]","[0, 0, 0, 0, 0, 1, 0, 0]",3 3 3 3 4 4 4 5 5 5 6 6 7 7 7 9 J J J J A,23,pass
tree-v4,323,271,"[2, 0, 0, 0, 0, 2, 1, 1]","[0, 0, 0, 1, 0, 1, 0, 0]",3 3 3 3 4 4 4 5 5 5 6 6 7 7 7 9 J J J J A,18,pass
tree-v4,323,271,"[2, 0, 0, 0, 0, 2, 1, 1]","[1, 0, 0, 1, 0, 1, 0, 0]",3 3 3 3 4 4 4 5 5 5 6 6 7 7 7 9 J J J J A,17,best
tree-v4,323,271,"[1, 0, 0, 0, 0, 2, 1, 1]","[2, 0, 0, 1, 0, 1, 0, 0]",3 3 3 3 4 4 4 5 5 5 6 6 7 7 7 J J J J A,16,pass
tree-v4,323,271,"[1, 0, 0, 0, 0, 2, 1, 1]","[3, 0, 0, 1, 0, 1, 0, 0]",3 3 3 3 4 4 4 5 5 5 6 6 7 7 7 J J J J A,15,best
tree-v4,323,271,"[0, 0, 0, 0, 0, 2, 1, 0]","[3, 0, 0, 1, 0, 1, 0, 1]",3 3 3 3 4 4 4 5 5 5 J J J J,10,pass
tree-v4,323,271,"[0, 0, 0, 0, 0, 2, 1, 0]","[3, 0, 0, 1, 1, 1, 0, 1]",3 3 3 3 4 4 4 5 5 5 J J J J,4,pass
AI-origin,280,283,"[2, 3, 0, 2, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 1]",3 4 5 5 5 6 6 7 7 7 7 7 8 8 9 9 9 10 J J J Q K K A 2 2,22,best
AI-origin,280,283,"[2, 3, 0, 2, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 2]",3 4 5 6 6 7 7 7 7 7 8 8 10 J J J Q K K A 2 2,17,pass
